,title,rating,no_of_ratings,url,difficulty,prep_time,cook_time,total_time,month_str,month,year,date,ingredient
0,Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,1.0,10.0,30.0,40.0,February,2,2006,2006-02-01 00:00:00,stock
0,Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,1.0,10.0,30.0,40.0,February,2,2006,2006-02-01 00:00:00,boneless
0,Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,1.0,10.0,30.0,40.0,February,2,2006,2006-02-01 00:00:00,skinless chicken breast
0,Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,1.0,10.0,30.0,40.0,February,2,2006,2006-02-01 00:00:00,garlic clove
0,Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,1.0,10.0,30.0,40.0,February,2,2006,2006-02-01 00:00:00,rice
0,Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,1.0,10.0,30.0,40.0,February,2,2006,2006-02-01 00:00:00,mushrooms
0,Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,1.0,10.0,30.0,40.0,February,2,2006,2006-02-01 00:00:00,spring onions
0,Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,1.0,10.0,30.0,40.0,February,2,2006,2006-02-01 00:00:00,soy sauce
0,Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,1.0,10.0,30.0,40.0,February,2,2006,2006-02-01 00:00:00,leaves
1,Mushroom soup,4.8,377.0,https://www.bbcgoodfood.com/recipes/mushroom-soup,1.0,10.0,25.0,35.0,NA,0,0,0,butter
1,Mushroom soup,4.8,377.0,https://www.bbcgoodfood.com/recipes/mushroom-soup,1.0,10.0,25.0,35.0,NA,0,0,0,medium onions
1,Mushroom soup,4.8,377.0,https://www.bbcgoodfood.com/recipes/mushroom-soup,1.0,10.0,25.0,35.0,NA,0,0,0,garlic clove
1,Mushroom soup,4.8,377.0,https://www.bbcgoodfood.com/recipes/mushroom-soup,1.0,10.0,25.0,35.0,NA,0,0,0,mushrooms
1,Mushroom soup,4.8,377.0,https://www.bbcgoodfood.com/recipes/mushroom-soup,1.0,10.0,25.0,35.0,NA,0,0,0,chicken stock
1,Mushroom soup,4.8,377.0,https://www.bbcgoodfood.com/recipes/mushroom-soup,1.0,10.0,25.0,35.0,NA,0,0,0,bay leaf
1,Mushroom soup,4.8,377.0,https://www.bbcgoodfood.com/recipes/mushroom-soup,1.0,10.0,25.0,35.0,NA,0,0,0,small handful leaf parsley
2,Tomato soup,4.6,465.0,https://www.bbcgoodfood.com/recipes/tomato-soup,1.0,105.0,0.0,105.0,September,9,2002,2002-09-01 00:00:00,medium onion
2,Tomato soup,4.6,465.0,https://www.bbcgoodfood.com/recipes/tomato-soup,1.0,105.0,0.0,105.0,September,9,2002,2002-09-01 00:00:00,small carrot
2,Tomato soup,4.6,465.0,https://www.bbcgoodfood.com/recipes/tomato-soup,1.0,105.0,0.0,105.0,September,9,2002,2002-09-01 00:00:00,celery stick
2,Tomato soup,4.6,465.0,https://www.bbcgoodfood.com/recipes/tomato-soup,1.0,105.0,0.0,105.0,September,9,2002,2002-09-01 00:00:00,squirts
2,Tomato soup,4.6,465.0,https://www.bbcgoodfood.com/recipes/tomato-soup,1.0,105.0,0.0,105.0,September,9,2002,2002-09-01 00:00:00,good pinch
