title,rating,no_of_ratings,url,author,servings,difficulty,prep_time,cook_time,total_time,year,month,ingredients,date
Chicken noodle soup,4.8,847.0,https://www.bbcgoodfood.com/recipes/chicken-noodle-soup,Mary Cadogan,2.0,1.0,10.0,30.0,40.0,2006,2,"900ml chicken or vegetable stock (or Miso soup mix), 1 boneless, skinless chicken breast (about 175g), 1 tsp chopped  fresh ginger, 1 garlic clove finely chopped, 50g rice or wheat noodles, 2 tbsp  sweetcorn canned or frozen, 2-3 mushrooms thinly sliced, 2 spring onions shredded, 2 tsp  soy sauce plus extra for serving, mint or basil leaves and a little shredded chilli (optional), to serve",2006-02-01 00:00:00
Mushroom soup,4.8,377.0,https://www.bbcgoodfood.com/recipes/mushroom-soup,tarilang,4.0,1.0,10.0,25.0,35.0,0,0,"90g butter, 2 medium onions roughly chopped, 1 garlic clove crushed , 500g mushrooms finely chopped (chestnut or button mushrooms work well), 2 tbsp plain flour, 1l hot chicken stock, 1 bay leaf, 4 tbsp single cream, small handful flat-leaf parsley roughly chopped, to serve (optional)",0
Tomato soup,4.6,465.0,https://www.bbcgoodfood.com/recipes/tomato-soup,Jeni Wright,4.0,1.0,105.0,0.0,105.0,2002,9,"1-1.25kg/2lb 4oz-2lb 12oz ripe  tomatoes, 1 medium onion, 1 small carrot, 1 celery stick, 2 tbsp olive oil, 2 squirts of tomato purée (about 2 tsp), a good pinch of sugar, 2 bay leaves, 1.2 litres/2 pints hot vegetable stock (made with boiling water and 4 rounded tsp bouillon powder or 2 stock cubes)",2002-09-01 00:00:00
Lentil soup,4.6,152.0,https://www.bbcgoodfood.com/recipes/lentil-soup,Member recipe by bevieevey,4.0,1.0,10.0,60.0,70.0,0,0,"2 litres vegetable or ham stock, 150g red lentils, 6 carrots finely chopped, 2 medium leeks sliced (about 300g), small handful of chopped  parsley to serve",0
Cauliflower soup,4.3,136.0,https://www.bbcgoodfood.com/recipes/cauliflower-soup,Esther Clark,4.0,1.0,15.0,25.0,40.0,0,0,"1 large cauliflower (1.5kg), cut into florets , ½ tbsp ground cumin, 2 tbsp olive oil plus extra for drizzling, 4 thyme sprigs, 1 onion finely chopped, 1 celery stick, finely chopped , 1 garlic clove crushed , 750-850ml veg or chicken stock, 100ml single cream, ½ small bunch of parsley finely chopped",0
Versatile veg soup,4.8,144.0,https://www.bbcgoodfood.com/recipes/versatile-veg-soup,Good Food team,2.0,1.0,10.0,15.0,25.0,2008,11,"200g chopped  vegetables such as onions, celery and carrots, 300g potatoes cubed, 1 tbsp oil, 700ml stock, crème fraîche and fresh herbs, to serve",2008-11-01 00:00:00
Butternut squash soup,4.8,753.0,https://www.bbcgoodfood.com/recipes/butternut-squash-soup-chilli-creme-fraiche,Good Food team,4.0,1.0,15.0,50.0,65.0,2009,10,"1 butternut squash about 1kg, peeled and deseeded, 2 tbsp olive oil, 1 tbsp butter, 2 onions diced, 1 garlic clove thinly sliced, 2 mild red chillies deseeded and finely chopped, 850ml hot vegetable stock, 4 tbsp crème fraîche plus more to serve",2009-10-01 00:00:00
Spiced lentil & butternut squash soup,4.8,238.0,https://www.bbcgoodfood.com/recipes/spiced-lentil-butternut-squash-soup,Esther Clark,4.0,1.0,10.0,40.0,50.0,2019,9,"2 tbsp olive oil, 2 onions finely chopped, 2 garlic cloves crushed, ¼ tsp hot chilli powder, 1 tbsp ras el hanout, 1 butternut squash peeled and cut into 2cm pieces, 100g red lentils, 1l hot vegetable stock, 1 small bunch coriander leaves chopped, plus extra to serve, dukkah (see tip) and natural yogurt, to serve",2019-09-01 00:00:00
Carrot & coriander soup,4.7,734.0,https://www.bbcgoodfood.com/recipes/carrot-coriander-soup,Good Food team,4.0,1.0,15.0,25.0,40.0,2008,8,"1 tbsp vegetable oil, 1 onion chopped, 1 tsp ground coriander, 1 potato chopped, 450g carrots peeled and chopped, 1.2l vegetable or chicken stock, handful coriander (about ½ a supermarket packet)",2008-08-01 00:00:00
Broccoli & stilton soup,4.9,532.0,https://www.bbcgoodfood.com/recipes/broccoli-stilton-soup,Caroline Hire – Food writer,4.0,1.0,10.0,35.0,45.0,0,0,"2 tbsp rapeseed oil, 1 onion finely chopped, 1 stick  celery sliced, 1 leek sliced, 1 medium potato diced, 1 knob butter, 1l low salt or homemade chicken or vegetable stock, 1 head  broccoli roughly chopped, 140g stilton or other blue cheese, crumbled",0
"Red lentil, chickpea & chilli soup",4.8,897.0,https://www.bbcgoodfood.com/recipes/red-lentil-chickpea-chilli-soup,Good Food team,4.0,1.0,10.0,25.0,35.0,2010,3,"2 tsp cumin seeds, large pinch chilli flakes, 1 tbsp olive oil, 1 red onion chopped, 140g red split lentils, 850ml vegetable stock or water, 400g can tomatoes whole or chopped, 200g can chickpeas or ½ a can, drained and rinsed (freeze leftovers), small bunch coriander roughly chopped (save a few leaves, to serve), 4 tbsp 0% Greek yogurt to serve",2010-03-01 00:00:00
Soup maker broccoli and stilton soup,4.9,83.0,https://www.bbcgoodfood.com/recipes/soup-maker-broccoli-and-stilton-soup,Good Food team,4.0,1.0,5.0,30.0,35.0,0,0,"1 onion finely chopped , 1 celery stick, sliced , 1 leek sliced, 1 medium potato diced , 750ml low salt or homemade chicken or vegetable stock, 1 head broccoli roughly chopped , 140g stilton or other blue cheese, crumbled",0
Meatball & tomato soup,4.7,136.0,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,Esther Clark,4.0,1.0,5.0,15.0,20.0,2020,5,"1½ tbsp rapeseed oil, 1 onion finely chopped, 2 red peppers deseeded and sliced, 1 garlic clove crushed, ½ tsp chilli flakes, 2 x 400g cans chopped tomatoes, 100g giant couscous, 500ml hot vegetable stock, 12 pork meatballs, 150g baby spinach, ½ small bunch of basil, grated parmesan to serve (optional)",2020-05-01 00:00:00
Hearty pasta soup,4.6,386.0,https://www.bbcgoodfood.com/recipes/hearty-pasta-soup,Good Food team,4.0,1.0,5.0,25.0,30.0,2008,3,"1 tbsp olive oil, 2 carrots chopped , 1 large onion finely chopped, 1l vegetable stock, 400g can chopped tomato, 200g frozen mixed peas and beans, 250g pack  fresh filled tortellini (we used spinach and ricotta), handful of basil leaves (optional), grated parmesan (or vegetarian alternative), to serve ",2008-03-01 00:00:00
Roasted sweet potato & carrot soup,4.8,264.0,https://www.bbcgoodfood.com/recipes/roasted-sweet-potato-carrot-soup,Chelsie Collins,4.0,1.0,15.0,35.0,50.0,2015,9,"500g sweet potatoes peeled and cut into chunks, 300g carrots peeled and cut into chunks, 3 tbsp olive oil, 2 onions finely chopped, 2 garlic cloves crushed, 1l vegetable stock, 100ml crème fraîche plus extra to serve",2015-09-01 00:00:00
"Leek, bacon & potato soup",4.8,388.0,https://www.bbcgoodfood.com/recipes/leek-bacon-potato-soup,Sara Buenfeld,4.0,1.0,30.0,30.0,60.0,2006,4,"25g butter, 3 rashers streaky bacon chopped , 1 onion chopped , 400g pack trimmed leek sliced and well washed, 3 medium potatoes peeled and diced, 1.4l hot vegetable stock (we used low-sodium), 142ml pot single cream, 4 rashers streaky bacon to serve",2006-04-01 00:00:00
Leek & potato soup,4.8,485.0,https://www.bbcgoodfood.com/recipes/leek-potato-soup,Good Food team,6.0,1.0,20.0,25.0,45.0,2003,3,"50g butter, 450g potatoes peeled and cut into 1cm pieces  (try Golden Wonders or Kerr Pinks), 1 small onion cut the same size as the potatoes, 450g white parts of leeks sliced  (save the green tops for another soup or stock), 850ml-1.2litres/1.5-2pts light chicken or vegetable stock, 142ml carton whipping cream, the white part of 1 leek, a small knob of butter, finely chopped chives",2003-03-01 00:00:00
"Courgette, potato & cheddar soup",4.7,380.0,https://www.bbcgoodfood.com/recipes/courgette-potato-cheddar-soup,Good Food team,8.0,1.0,15.0,15.0,30.0,2011,9,"500g potato unpeeled and roughly chopped, 2 vegetable stock cubes, 1kg courgettes roughly chopped, bunch spring onion sliced - save 1 for serving, if eating straight away, 100g extra-mature cheddar or vegetarian alternative, grated, plus a little extra to serve, good grating fresh nutmeg plus extra to serve",2011-09-01 00:00:00
Soup maker mushroom soup,4.6,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-easy-mushroom-soup,Good Food team,4.0,1.0,5.0,30.0,35.0,0,0,"2 medium onions roughly chopped , 1 garlic clove crushed , 500g mushrooms finely chopped (chestnut or button mushrooms work well) , 750ml chicken stock, 4 tbsp single cream plus more to serve, small handful flat-leaf parsley roughly chopped, to serve (optional)",0
Soup maker carrot and coriander soup,4.7,56.0,https://www.bbcgoodfood.com/recipes/soup-maker-carrot-and-coriander-soup,Good Food team,2.0,1.0,5.0,30.0,35.0,0,0,"1 small onion chopped, ½ tsp ground coriander, 1 small potato peeled and chopped , 400g carrots peeled and chopped , 600ml vegetable or chicken stock, ½ small bunch coriander",0
Soup maker leek and potato soup,4.6,57.0,https://www.bbcgoodfood.com/recipes/soup-maker-leek-and-potato-soup,Good Food team,2.0,1.0,5.0,30.0,35.0,0,0,"225g potatoes peeled and cut into 1cm pieces , 1 small onion cut the same size as the potatoes , 1 large leek sliced , 450ml light chicken or vegetable stock, 60ml whipping cream plus a drizzle to serve  , 60ml whole milk, small knob of butter, finely chopped chives",0
Spicy chilli bean soup,4.7,63.0,https://www.bbcgoodfood.com/recipes/spicy-chilli-bean-soup,Chelsie Collins,4.0,1.0,10.0,40.0,50.0,2015,9,"1 tbsp olive oil, 1 large onion finely chopped, 1 garlic clove crushed, 1 tbsp tomato purée, 1 tsp mild chilli powder, ½ tsp ground cumin, 400g can chopped tomatoes, 500ml vegetable stock, 400g can mixed beans drained and rinsed, 1 red pepper cut into chunky dice, tortilla chips to serve, 4 limes wedges, to serve",2015-09-01 00:00:00
Pumpkin soup,4.6,226.0,https://www.bbcgoodfood.com/recipes/pumpkin-soup,Barney Desmazery,6.0,1.0,20.0,25.0,45.0,2008,10,"2 tbsp olive oil, 2 onions finely chopped, 1kg pumpkin or squash (try kabocha), peeled, deseeded and chopped into chunks, 700ml vegetable stock or chicken stock, 2 tbsp olive oil, 4 slices wholemeal seeded bread crusts removed, handful pumpkin seeds",2008-10-01 00:00:00
Chicken soup,4.5,215.0,https://www.bbcgoodfood.com/recipes/roast-chicken-soup,Good Food team,4.0,1.0,15.0,35.0,50.0,2009,3,"1 tbsp olive oil, 2 onions chopped, 3 medium  carrots chopped, 1 tbsp  thyme leaves roughly chopped, 1.4l chicken stock, 300g leftover roast chicken shredded and skin removed, 200g frozen peas, 3 tbsp Greek yogurt, 1  garlic clove crushed, squeeze of lemon juice, cheese scone to serve (see tips below)",2009-03-01 00:00:00
